	강원	경기	경남	경북	광주	대구	대전	부산	서울	세종	울산	인천	전남	전북	제주	충남	충북	합계 : 계
2013-01	921,880	6,939,382	2,270,522	1,675,830	879,606	1,617,826	967,374	1,849,914	4,905,780	71,136	773,636	1,658,718	1,030,068	1,096,630	428,770	1,237,762	962,032	29,286,866
2013-02	923,170	6,955,860	2,272,244	1,680,160	881,924	1,620,716	969,468	1,852,784	4,907,000	72,238	775,600	1,668,358	1,033,480	1,098,980	434,802	1,241,806	964,572	29,353,162
2013-03	925,908	6,973,382	2,273,526	1,686,010	885,134	1,625,490	971,670	1,854,682	4,908,134	73,180	778,676	1,680,434	1,038,780	1,101,502	441,422	1,246,942	967,550	29,432,422
2013-04	928,526	6,992,166	2,276,088	1,692,336	888,358	1,631,014	973,718	1,856,802	4,910,548	73,784	780,834	1,697,336	1,043,806	1,105,144	448,700	1,252,774	971,222	29,523,156
2013-05	931,064	7,009,274	2,278,674	1,697,366	891,070	1,638,846	975,894	1,856,376	4,916,414	74,496	782,682	1,709,468	1,048,916	1,107,770	455,228	1,256,960	974,350	29,604,848
2013-06	933,370	7,028,394	2,280,828	1,702,670	893,828	1,642,918	977,428	1,858,856	4,918,108	74,892	785,006	1,723,998	1,054,548	1,112,106	461,502	1,261,728	977,668	29,687,848
2013-07	937,028	7,055,952	2,285,310	1,709,240	897,316	1,649,088	979,920	1,863,302	4,925,544	75,252	788,010	1,741,690	1,059,578	1,116,440	470,914	1,266,150	981,848	29,802,582
2013-08	939,100	7,073,078	2,291,836	1,713,744	899,262	1,653,064	981,678	1,863,644	4,923,842	75,710	790,232	1,758,578	1,063,296	1,119,356	476,268	1,270,290	984,790	29,877,768
2013-09	941,532	7,090,216	2,293,510	1,718,324	901,406	1,658,080	983,060	1,866,006	4,928,386	76,180	792,066	1,771,680	1,066,914	1,122,302	479,732	1,274,086	987,230	29,950,710
2013-10	944,352	7,110,352	2,296,684	1,723,426	904,806	1,663,606	985,166	1,867,566	4,931,930	76,794	794,176	1,789,700	1,071,152	1,125,358	485,208	1,280,176	990,332	30,040,784
2013-11	946,838	7,129,422	2,299,888	1,728,492	906,922	1,669,076	986,790	1,861,610	4,931,770	77,264	796,484	1,807,942	1,076,290	1,136,588	490,374	1,284,132	993,072	30,122,954
2013-12	946,208	7,137,092	2,299,710	1,730,798	907,680	1,671,244	987,468	1,862,198	4,925,030	78,702	796,562	1,822,790	1,079,696	1,137,286	495,086	1,285,364	993,794	30,156,708
2014-01	950,024	7,175,700	2,307,976	1,739,578	911,536	1,680,106	992,032	1,870,550	4,939,738	80,464	802,212	1,841,386	1,087,866	1,142,750	503,180	1,293,242	998,994	30,317,334
2014-02	951,868	7,194,404	2,309,634	1,744,848	914,462	1,683,956	993,838	1,874,826	4,944,142	81,984	804,686	1,854,660	1,092,490	1,146,110	510,488	1,298,804	1,001,842	30,403,042
2014-03	955,450	7,217,832	2,312,190	1,751,070	916,808	1,689,914	996,414	1,878,956	4,946,934	83,004	807,218	1,876,510	1,099,390	1,150,066	518,184	1,305,256	1,005,520	30,510,716
2014-04	958,672	7,244,370	2,313,808	1,758,332	919,800	1,696,764	999,562	1,883,228	4,955,430	84,272	810,028	1,896,250	1,107,570	1,154,888	528,660	1,311,406	1,010,238	30,633,278
2014-05	961,754	7,271,548	2,317,996	1,764,388	924,408	1,702,280	1,001,986	1,886,720	4,962,564	85,754	813,254	1,911,786	1,112,152	1,158,500	535,242	1,317,216	1,013,630	30,741,178
2014-06	964,438	7,298,686	2,313,890	1,769,998	928,214	1,707,224	1,004,058	1,896,012	4,971,586	86,836	816,316	1,928,992	1,116,298	1,160,818	548,044	1,322,080	1,017,650	30,851,140
2014-07	968,192	7,327,050	2,317,328	1,776,534	932,866	1,713,324	1,006,798	1,900,842	4,983,748	87,942	819,236	1,950,216	1,122,282	1,165,626	559,642	1,326,824	1,022,184	30,980,634
2014-08	970,642	7,349,232	2,319,612	1,782,514	936,082	1,717,576	1,008,918	1,904,586	4,993,302	89,988	821,108	1,964,868	1,125,998	1,169,172	565,158	1,331,296	1,025,436	31,075,488
2014-09	974,096	7,374,234	2,322,550	1,793,164	939,924	1,718,160	1,011,170	1,908,514	5,002,142	92,634	823,344	1,978,722	1,130,362	1,173,008	570,604	1,336,969	1,029,590	31,179,187
2014-10	977,218	7,397,502	2,324,902	1,796,284	943,016	1,725,656	1,013,378	1,918,938	5,008,114	96,148	826,230	1,993,806	1,136,604	1,177,130	575,588	1,342,046	1,033,746	31,286,306
2014-11	980,476	7,425,594	2,330,792	1,801,864	947,088	1,732,228	1,015,572	1,922,624	5,017,694	100,802	830,404	2,008,320	1,143,950	1,181,452	581,688	1,347,444	1,037,174	31,405,166
2014-12	982,076	7,446,620	2,336,376	1,806,654	948,566	1,737,810	1,016,532	1,924,186	5,021,484	105,938	832,724	2,021,656	1,152,502	1,184,332	587,054	1,350,670	1,039,162	31,494,342
2015-01	987,154	7,488,842	2,347,998	1,815,568	953,688	1,745,252	1,019,716	1,934,078	5,037,428	110,918	838,276	2,040,274	1,162,648	1,190,572	595,570	1,359,590	1,044,526	31,672,098
2015-02	989,684	7,514,514	2,353,918	1,821,706	956,498	1,751,856	1,020,718	1,939,842	5,042,396	116,188	840,244	2,052,634	1,169,298	1,194,324	601,948	1,364,734	1,047,880	31,778,382
2015-03	993,242	7,542,676	2,358,790	1,828,914	960,252	1,757,522	1,021,182	1,943,620	5,045,944	121,012	843,542	2,065,000	1,176,756	1,200,396	612,926	1,371,092	1,052,262	31,895,128
2015-04	997,690	7,574,628	2,368,648	1,835,446	964,890	1,764,512	1,023,354	1,949,804	5,052,244	124,154	847,090	2,079,448	1,185,588	1,205,172	620,624	1,377,794	1,057,026	32,028,112
2015-05	1,001,754	7,604,016	2,375,178	1,841,778	968,250	1,767,570	1,024,428	1,957,142	5,059,346	127,452	849,556	2,095,028	1,192,418	1,209,250	627,282	1,383,736	1,060,820	32,145,004
2015-06	1,005,900	7,635,520	2,382,538	1,848,912	972,226	1,773,498	1,027,340	1,966,302	5,064,004	130,044	852,098	2,118,326	1,199,986	1,213,528	633,770	1,389,736	1,066,276	32,280,004
2015-07	1,010,104	7,666,952	2,385,994	1,856,766	975,854	1,778,358	1,029,262	1,974,414	5,073,386	133,768	855,356	2,138,764	1,209,496	1,217,696	647,208	1,395,818	1,070,022	32,419,218
2015-08	1,013,174	7,695,144	2,393,884	1,862,662	977,868	1,780,790	1,030,380	1,978,732	5,076,950	137,476	857,256	2,153,498	1,216,684	1,221,722	653,606	1,401,482	1,073,576	32,524,884
2015-09	1,018,638	7,735,310	2,403,256	1,870,986	981,928	1,788,300	1,033,616	1,986,242	5,088,396	141,302	860,316	2,172,758	1,226,124	1,226,962	661,552	1,408,872	1,078,654	32,683,212
2015-10	1,023,008	7,771,970	2,411,872	1,878,342	984,028	1,793,524	1,035,350	1,993,334	5,095,502	145,324	864,742	2,190,270	1,234,022	1,231,578	668,094	1,415,262	1,082,978	32,819,200
2015-11	1,027,348	7,817,286	2,421,832	1,887,134	989,546	1,799,982	1,038,698	2,001,406	5,109,990	148,708	868,536	2,211,302	1,242,158	1,237,546	673,726	1,422,830	1,087,696	32,985,724
2015-12	1,029,748	7,859,320	2,430,890	1,894,600	991,670	1,805,864	1,041,076	2,007,442	5,120,308	152,656	870,628	2,226,676	1,251,560	1,241,704	679,094	1,428,128	1,091,966	33,123,330
2016-01	1,035,556	7,907,116	2,445,130	1,904,312	996,024	1,810,482	1,043,836	2,014,424	5,134,612	157,058	875,160	2,244,054	1,262,034	1,247,876	684,934	1,436,352	1,097,758	33,296,718
2016-02	1,038,800	7,931,698	2,463,958	1,911,008	998,120	1,811,934	1,044,560	2,019,598	5,137,382	160,696	877,478	2,247,266	1,268,244	1,251,452	688,868	1,443,188	1,101,450	33,395,700
2016-03	1,043,760	7,970,220	2,475,470	1,920,328	1,002,084	1,817,580	1,047,388	2,035,666	5,143,980	164,268	880,150	2,258,374	1,276,766	1,256,854	693,880	1,450,882	1,107,418	33,545,068
2016-04	1,048,336	8,007,532	2,484,550	1,928,376	1,004,398	1,823,158	1,050,690	2,041,886	5,152,208	166,568	882,700	2,275,824	1,284,360	1,261,876	699,882	1,458,452	1,112,460	33,683,256
2016-05	1,052,846	8,046,580	2,494,054	1,936,042	1,007,930	1,826,956	1,053,958	2,048,472	5,161,376	168,966	885,486	2,295,314	1,291,838	1,267,054	704,740	1,466,560	1,117,424	33,825,596
2016-06	1,057,834	8,094,956	2,503,448	1,944,648	1,012,836	1,836,096	1,058,328	2,058,058	5,174,788	171,714	888,848	2,315,932	1,304,014	1,272,978	711,820	1,474,916	1,123,272	34,004,486
2016-07	1,061,784	8,131,832	2,514,720	1,950,402	1,025,646	1,837,624	1,060,860	2,066,668	5,177,928	173,860	891,042	2,320,408	1,309,680	1,277,812	718,098	1,481,234	1,128,070	34,127,668
2016-08	1,065,694	8,157,536	2,518,632	1,955,332	1,027,108	1,839,124	1,061,670	2,070,750	5,177,526	176,104	891,910	2,329,264	1,315,658	1,281,378	720,578	1,486,662	1,131,596	34,206,522
2016-09	1,069,138	8,190,912	2,524,844	1,959,854	1,029,476	1,842,632	1,063,360	2,075,686	5,185,090	178,134	893,424	2,341,552	1,320,364	1,284,594	723,440	1,491,884	1,135,388	34,309,772
2016-10	1,072,590	8,228,118	2,529,974	1,964,678	1,031,996	1,846,584	1,065,720	2,079,806	5,192,674	180,782	892,656	2,353,426	1,329,796	1,288,628	726,576	1,497,698	1,139,628	34,421,330
2016-11	1,076,636	8,269,350	2,539,454	1,970,468	1,035,100	1,852,100	1,068,818	2,084,382	5,196,660	182,772	895,526	2,372,220	1,338,792	1,293,538	731,488	1,504,870	1,144,294	34,556,468
2016-12	1,079,526	8,316,172	2,546,970	1,975,210	1,036,880	1,858,396	1,071,916	2,089,992	5,196,688	185,008	897,890	2,383,162	1,347,022	1,296,840	736,586	1,510,416	1,147,646	34,676,320
2017-01	1,083,978	8,363,688	2,559,076	1,985,028	1,041,784	1,866,050	1,076,748	2,099,578	5,214,508	187,130	902,162	2,399,436	1,354,968	1,302,542	740,462	1,519,160	1,153,876	34,850,174
2017-02	1,086,538	8,381,702	2,565,248	1,990,080	1,043,202	1,868,062	1,077,516	2,100,866	5,220,302	189,328	903,196	2,407,614	1,359,216	1,305,058	743,322	1,526,000	1,158,164	34,925,414
2017-03	1,090,112	8,412,722	2,573,460	1,896,845	1,046,162	1,873,634	1,080,006	2,108,258	5,225,174	192,848	905,204	2,417,008	1,366,308	1,308,674	750,850	1,533,422	1,162,530	34,943,217
2017-04	1,093,640	8,449,732	2,579,864	2,001,572	1,048,710	1,879,014	1,082,350	2,115,466	5,233,822	196,056	906,878	2,430,112	1,374,780	1,312,870	756,580	1,540,718	1,166,800	35,168,964
2017-05	1,097,362	8,479,438	2,585,098	2,006,674	1,051,374	1,886,018	1,083,806	2,123,360	5,243,340	200,426	908,578	2,438,372	1,380,868	1,317,054	759,622	1,547,228	1,170,410	35,279,028
2017-06	1,101,266	8,515,456	2,592,800	2,012,340	1,054,952	1,891,950	1,086,240	2,132,494	5,254,018	204,110	910,672	2,454,632	1,387,346	1,320,186	765,750	1,553,774	1,174,648	35,412,634
2017-07	1,104,832	8,550,932	2,598,356	2,017,820	1,057,318	1,896,308	1,088,274	2,139,450	5,264,058	206,910	912,522	2,469,700	1,394,582	1,323,474	772,838	1,559,720	1,177,634	35,534,728
2017-08	1,108,310	8,582,082	2,602,170	2,022,814	1,060,234	1,898,670	1,089,726	2,146,510	5,268,994	210,090	913,562	2,476,602	1,399,434	1,326,216	778,086	1,565,718	1,181,826	35,631,044
2017-09	1,112,578	8,631,762	2,608,124	2,030,522	1,063,812	1,902,412	1,092,204	2,154,744	5,276,472	212,794	915,480	2,487,316	1,404,624	1,331,530	784,950	1,572,656	1,186,536	35,768,516
2017-10	1,115,352	8,660,696	2,613,422	2,035,654	1,065,394	1,904,256	1,093,316	2,157,644	5,278,626	215,254	916,872	2,497,236	1,407,932	1,333,496	788,934	1,577,048	1,189,734	35,850,866
2017-11	1,119,592	8,703,568	2,622,492	2,041,008	1,068,700	1,910,378	1,095,228	2,165,110	5,282,950	218,368	918,480	2,511,224	1,415,908	1,338,102	794,098	1,582,426	1,193,214	35,980,846
2017-12	1,121,650	8,738,864	2,626,842	2,044,112	1,068,668	1,913,556	1,095,764	2,170,242	5,282,380	221,276	919,344	2,521,752	1,423,440	1,340,376	799,194	1,585,718	1,195,902	36,069,080
2018-01	1,124,990	8,783,852	2,633,602	2,050,634	1,071,814	1,919,234	1,098,298	2,178,124	5,288,756	224,346	921,814	2,536,816	1,429,836	1,344,010	807,214	1,592,992	1,200,724	36,207,056
2018-02	1,126,936	8,804,014	2,637,398	2,053,560	1,073,080	1,921,832	1,098,678	2,183,832	5,289,038	228,110	923,178	2,546,308	1,433,390	1,346,346	813,420	1,598,528	1,203,620	36,281,268
2018-03	1,130,712	8,841,330	2,644,638	2,058,394	1,075,494	1,926,650	1,100,110	2,189,854	5,288,656	231,804	925,684	2,555,924	1,440,506	1,349,450	822,232	1,605,662	1,208,214	36,395,314
2018-04	1,134,474	8,881,296	2,649,536	2,063,856	1,077,714	1,929,446	1,102,290	2,197,948	5,295,498	235,552	928,110	2,565,928	1,446,598	1,354,694	831,588	1,611,554	1,213,348	36,519,430
2018-05	1,137,274	8,919,566	2,652,892	2,068,936	1,079,772	1,933,320	1,103,514	2,204,982	5,298,120	238,496	929,840	2,575,032	1,454,086	1,358,554	840,804	1,616,424	1,217,590	36,629,202
2018-06	1,140,892	8,956,720	2,657,596	2,072,814	1,082,820	1,939,986	1,105,338	2,212,056	5,300,348	241,648	930,988	2,587,056	1,460,922	1,363,770	850,542	1,623,344	1,221,328	36,748,168
2018-07	1,144,944	8,991,316	2,662,564	2,077,470	1,085,864	1,943,332	1,107,774	2,219,394	5,303,532	244,036	932,166	2,596,372	1,466,644	1,367,876	862,574	1,628,814	1,225,296	36,859,968
2018-08	1,148,146	9,024,002	2,666,564	2,081,352	1,088,414	1,945,546	1,109,792	2,224,728	5,304,756	246,886	933,010	2,605,498	1,469,176	1,371,276	871,292	1,633,130	1,228,868	36,952,436
2018-09	1,151,092	9,057,266	2,667,408	2,085,804	1,090,762	1,949,518	1,111,846	2,229,700	5,309,656	249,474	934,298	2,614,886	1,473,436	1,374,440	880,460	1,637,320	1,232,222	37,049,588
2018-10	1,153,296	9,093,368	2,670,452	2,089,678	1,093,346	1,951,582	1,113,380	2,235,458	5,311,978	252,050	935,008	2,626,046	1,475,958	1,377,050	887,910	1,641,890	1,237,010	37,145,460
2018-11	1,156,418	9,138,372	2,675,294	2,094,462	1,095,736	1,956,592	1,115,554	2,246,764	5,313,692	253,768	936,434	2,635,272	1,481,678	1,380,676	896,776	1,647,233	1,240,884	37,265,605
2018-12	1,156,838	9,169,966	2,676,768	2,097,658	1,096,468	1,959,200	1,116,202	2,250,924	5,317,274	255,392	936,566	2,649,634	1,489,298	1,382,806	903,774	1,650,162	1,244,918	37,353,848
2019-01	1,160,818	9,210,400	2,682,750	2,103,322	1,099,620	1,962,252	1,117,638	2,256,928	5,324,758	258,718	938,248	2,665,246	1,492,550	1,386,442	910,190	1,655,834	1,249,990	37,475,704
2019-02	1,162,546	9,216,852	2,680,672	2,106,180	1,100,358	1,961,672	1,116,812	2,264,460	5,327,272	261,740	939,136	2,673,006	1,493,824	1,388,322	915,252	1,659,732	1,253,290	37,521,126
2019-03	1,164,210	9,231,320	2,682,828	2,110,188	1,103,116	1,964,934	1,117,930	2,267,666	5,326,860	264,764	940,776	2,677,376	1,498,014	1,390,662	922,086	1,663,846	1,255,758	37,582,334
2019-04	1,166,914	9,251,060	2,688,344	2,113,552	1,104,644	1,961,792	1,118,596	2,269,896	5,324,756	266,790	942,360	2,685,778	1,502,240	1,392,912	928,726	1,667,138	1,265,042	37,650,540
2019-05	1,169,952	9,281,360	2,695,204	2,117,828	1,106,952	1,964,038	1,118,978	2,274,884	5,323,098	268,430	943,190	2,698,448	1,504,730	1,396,870	936,294	1,670,978	1,268,164	37,739,398
2019-06	1,173,184	9,315,086	2,701,568	2,121,634	1,108,978	1,966,934	1,119,534	2,279,712	5,321,328	270,604	944,684	2,712,638	1,509,052	1,399,854	945,058	1,674,642	1,271,440	37,835,930
2019-07	1,176,756	9,349,892	2,709,008	2,125,432	1,111,950	1,969,716	1,120,850	2,282,110	5,325,086	273,344	946,452	2,728,386	1,512,600	1,401,644	954,738	1,678,358	1,275,628	37,941,950
2019-08	1,180,070	9,379,364	2,713,918	2,129,298	1,114,240	1,973,246	1,121,396	2,286,234	5,327,132	275,456	947,814	2,731,338	1,515,720	1,404,410	962,334	1,682,100	1,278,910	38,022,980
2019-09	1,183,118	9,397,666	2,721,396	2,133,884	1,116,454	1,977,068	1,122,982	2,291,384	5,330,684	277,464	949,320	2,736,508	1,520,924	1,406,592	967,626	1,687,554	1,282,492	38,103,116
2019-10	1,183,560	9,416,840	2,719,024	2,135,716	1,118,396	1,984,034	1,124,076	2,290,654	5,332,390	280,330	949,434	2,748,648	1,525,518	1,405,788	974,192	1,690,898	1,285,744	38,165,242
2019-11	1,186,424	9,446,524	2,724,980	2,139,320	1,120,354	1,989,054	1,125,408	2,297,896	5,336,350	282,606	950,892	2,756,682	1,529,480	1,407,952	982,590	1,693,286	1,288,504	38,258,302
2019-12	1,188,754	9,474,934	2,732,568	2,144,406	1,121,450	1,990,006	1,127,292	2,305,424	5,341,606	284,530	952,818	2,767,698	1,534,000	1,411,570	990,108	1,697,030	1,290,840	38,355,034
2020-01	1,192,160	9,499,182	2,740,720	2,149,492	1,123,984	1,992,608	1,129,678	2,309,090	5,347,826	286,632	954,626	2,771,952	1,542,132	1,414,442	997,718	1,702,476	1,293,806	38,448,524
2020-02	1,193,736	9,505,196	2,746,840	2,151,544	1,124,898	1,993,228	1,130,434	2,312,770	5,343,044	288,504	954,650	2,769,178	1,543,164	1,415,366	1,001,918	1,705,070	1,296,120	38,475,660
2020-03	1,196,252	9,549,134	2,753,488	2,152,056	1,128,876	1,996,916	1,134,350	2,315,334	5,346,384	290,332	956,740	2,777,924	1,546,558	1,418,426	1,012,096	1,709,354	1,305,144	38,589,364
2020-04	1,199,852	9,603,068	2,763,052	2,155,962	1,132,884	2,003,508	1,137,334	2,323,122	5,354,486	291,328	958,486	2,812,832	1,549,286	1,421,186	991,586	1,712,670	1,309,010	38,719,652
2020-05	1,205,078	9,649,436	2,772,294	2,161,184	1,136,058	2,006,716	1,140,340	2,331,286	5,365,820	292,104	960,278	2,819,574	1,555,892	1,425,684	1,001,442	1,718,806	1,314,162	38,856,154
2020-06	1,212,006	9,705,750	2,786,624	2,168,718	1,140,974	2,014,162	1,143,398	2,341,310	5,383,748	292,974	964,358	2,831,436	1,565,438	1,431,484	1,010,974	1,728,492	1,321,906	39,043,752
2020-07	1,217,896	9,741,942	2,794,534	2,174,190	1,143,904	2,022,568	1,146,680	2,349,604	5,396,280	294,638	968,306	2,838,916	1,573,992	1,434,786	1,022,286	1,735,558	1,326,912	39,182,992
2020-08	1,220,888	9,767,892	2,797,648	2,176,664	1,143,254	2,036,298	1,146,066	2,353,394	5,399,602	296,420	968,288	2,833,670	1,579,186	1,436,284	1,028,656	1,738,118	1,329,298	39,251,626
2020-09	1,224,628	9,817,414	2,806,552	2,181,444	1,147,480	2,045,842	1,149,596	2,360,318	5,406,858	297,826	969,372	2,835,054	1,589,460	1,439,948	1,037,370	1,744,148	1,334,284	39,387,594
2020-10	1,227,744	9,854,886	2,814,922	2,186,436	1,148,868	2,046,648	1,150,330	2,366,472	5,411,684	300,928	970,174	2,841,266	1,594,118	1,442,492	1,044,348	1,748,160	1,338,240	39,487,716
2020-11	1,232,092	9,895,606	2,824,650	2,192,648	1,151,868	2,050,662	1,152,230	2,373,348	5,420,854	304,066	972,178	2,850,034	1,600,754	1,446,650	1,051,756	1,753,842	1,342,612	39,615,850
2020-12	1,234,754	9,933,378	2,865,978	2,197,692	1,152,732	2,054,150	1,153,812	2,378,690	5,423,968	306,660	973,918	2,852,406	1,614,078	1,448,648	1,026,986	1,758,240	1,345,820	39,721,910
2021-01	1,238,180	9,977,802	2,876,426	2,204,596	1,155,214	2,057,248	1,157,024	2,386,832	5,428,966	309,316	976,768	2,855,638	1,627,282	1,451,238	1,032,124	1,763,420	1,349,760	39,847,834
2021-02	1,241,414	10,006,968	2,886,744	2,210,142	1,156,124	2,058,230	1,157,250	2,391,446	5,428,166	311,272	977,622	2,854,176	1,639,210	1,454,146	1,038,686	1,768,314	1,353,644	39,933,554
2021-03	1,245,116	10,032,194	2,896,454	2,218,384	1,157,718	2,060,678	1,157,948	2,396,476	5,430,906	313,100	979,138	2,855,428	1,651,836	1,457,722	1,047,592	1,774,914	1,357,818	40,033,422
2021-04	1,245,908	10,064,342	2,903,684	2,220,946	1,157,852	2,055,462	1,160,226	2,402,756	5,434,370	314,192	979,648	2,849,282	1,673,040	1,457,584	1,056,440	1,778,172	1,365,006	40,118,910
2021-05	1,248,626	10,093,860	2,909,028	2,223,736	1,158,470	2,052,502	1,158,026	2,411,420	5,439,202	315,338	979,448	2,850,508	1,681,762	1,457,858	1,064,242	1,780,750	1,368,610	40,193,386
2021-06	1,252,180	10,130,846	2,916,818	2,227,256	1,160,416	2,055,366	1,158,682	2,419,716	5,444,924	316,598	980,302	2,855,512	1,692,784	1,460,630	1,073,574	1,785,550	1,372,844	40,303,998
2021-07	1,255,876	10,166,228	2,929,002	2,231,614	1,162,082	2,039,682	1,161,158	2,426,696	5,463,460	318,214	981,386	2,854,574	1,702,248	1,463,180	1,082,570	1,791,030	1,385,278	40,414,278
2021-08	1,258,110	10,199,688	2,932,344	2,233,962	1,164,226	2,041,276	1,162,838	2,432,480	5,464,990	319,160	981,584	2,854,226	1,707,566	1,464,724	1,087,604	1,793,772	1,387,934	40,486,484
2021-09	1,261,250	10,226,232	2,937,008	2,236,330	1,166,620	2,041,336	1,164,682	2,433,398	5,473,336	320,468	982,170	2,842,340	1,727,078	1,465,626	1,092,792	1,797,054	1,390,254	40,557,974
2021-10	1,264,988	10,251,402	2,943,178	2,239,770	1,168,234	2,041,940	1,166,078	2,438,592	5,473,092	322,534	983,178	2,841,964	1,734,338	1,467,432	1,098,186	1,801,368	1,392,706	40,628,980
2021-11	1,268,398	10,281,466	2,950,264	2,244,550	1,170,354	2,042,844	1,168,140	2,445,612	5,479,958	324,056	985,038	2,847,568	1,741,058	1,470,030	1,105,102	1,805,954	1,395,612	40,726,004
2021-12	1,270,796	10,312,594	2,956,810	2,247,252	1,172,592	2,044,562	1,169,346	2,453,966	5,480,088	326,700	986,234	2,854,562	1,756,704	1,470,722	1,110,754	1,809,654	1,397,960	40,821,296
2022-01	1,274,716	10,343,634	2,964,828	2,252,212	1,175,578	2,047,886	1,171,384	2,461,168	5,483,694	329,642	988,072	2,863,624	1,761,376	1,473,544	1,116,908	1,814,718	1,401,040	40,924,024
