	강원	경기	경남	경북	광주	대구	대전	부산	서울	세종	울산	인천	전남	전북	제주	충남	충북	합계 : 계
2011-01	872,184	6,520,300	2,100,734	1,556,526	814,572	1,490,228	920,850	1,783,820	4,887,112	0	716,820	1,413,048	936,462	1,013,252	338,432	1,184,204	892,436	27,440,980
2011-02	873,990	6,539,690	2,111,580	1,560,596	817,842	1,493,236	923,774	1,787,648	4,891,504	0	719,170	1,416,088	939,082	1,016,746	339,254	1,188,836	893,906	27,512,942
2011-03	876,652	6,565,298	2,128,622	1,567,054	821,882	1,498,208	927,060	1,789,712	4,899,202	0	722,248	1,422,082	943,558	1,022,454	341,282	1,194,642	899,876	27,619,832
2011-04	879,512	6,590,306	2,141,350	1,573,498	825,084	1,501,562	929,280	1,792,976	4,908,936	0	725,278	1,426,116	948,376	1,027,492	343,928	1,201,102	904,158	27,718,954
2011-05	882,310	6,609,048	2,146,612	1,578,622	827,738	1,511,552	931,012	1,797,804	4,910,978	0	727,468	1,429,880	953,170	1,030,326	345,586	1,208,776	907,704	27,798,586
2011-06	884,902	6,630,770	2,156,772	1,583,874	830,868	1,518,404	933,568	1,802,230	4,913,524	0	730,096	1,439,058	957,666	1,035,694	347,880	1,214,274	911,336	27,890,916
2011-07	887,998	6,652,054	2,168,918	1,589,866	834,202	1,523,838	935,170	1,803,976	4,915,686	0	733,018	1,449,048	961,608	1,043,318	350,460	1,220,368	915,336	27,984,864
2011-08	889,648	6,660,890	2,176,532	1,593,844	836,750	1,528,040	935,800	1,805,332	4,912,074	0	733,536	1,457,808	963,988	1,046,704	351,430	1,223,656	917,992	28,034,024
2011-09	892,500	6,682,774	2,189,436	1,599,964	839,836	1,533,014	938,368	1,806,968	4,917,810	0	736,146	1,471,390	967,982	1,050,776	351,104	1,228,846	922,264	28,129,178
2011-10	895,084	6,697,538	2,203,762	1,604,788	842,756	1,537,412	940,786	1,809,246	4,914,442	0	739,032	1,481,454	972,910	1,053,510	351,108	1,233,402	925,784	28,203,014
2011-11	897,264	6,706,968	2,211,502	1,609,492	844,464	1,557,946	941,770	1,803,166	4,899,850	0	740,658	1,499,332	976,212	1,055,714	351,108	1,237,144	928,696	28,261,286
2011-12	897,106	6,707,172	2,213,718	1,612,754	844,470	1,558,638	942,044	1,802,668	4,886,522	0	740,866	1,514,298	978,636	1,056,018	349,882	1,238,876	929,288	28,272,956
2012-01	900,080	6,735,030	2,225,504	1,619,782	847,662	1,563,532	944,832	1,810,276	4,893,664	0	745,358	1,525,138	983,452	1,062,042	351,750	1,248,830	933,196	28,390,128
2012-02	901,264	6,745,274	2,231,942	1,624,240	850,390	1,566,886	946,320	1,813,316	4,892,298	0	747,794	1,532,964	986,488	1,064,788	356,456	1,254,238	935,672	28,450,330
2012-03	903,248	6,756,592	2,238,468	1,628,764	852,858	1,569,036	947,370	1,813,782	4,890,380	0	750,128	1,542,348	990,114	1,067,714	362,370	1,258,774	937,770	28,509,716
2012-04	905,008	6,768,214	2,237,228	1,632,130	854,944	1,570,056	948,516	1,815,050	4,886,864	0	752,014	1,552,010	998,222	1,071,696	373,922	1,262,962	940,066	28,568,902
2012-05	907,190	6,782,560	2,241,490	1,636,138	856,912	1,578,494	950,598	1,817,504	4,886,988	0	753,668	1,561,288	1,001,444	1,074,068	381,084	1,267,288	942,524	28,639,238
2012-06	909,314	6,800,998	2,246,668	1,640,720	859,402	1,582,442	953,148	1,820,274	4,891,036	0	756,068	1,573,192	1,005,280	1,076,962	388,518	1,271,410	945,410	28,720,842
2012-07	911,432	6,816,852	2,247,862	1,645,694	861,938	1,586,002	954,220	1,824,384	4,893,710	62,848	758,294	1,584,918	1,008,892	1,079,368	400,058	1,218,358	944,500	28,799,330
2012-08	912,476	6,824,952	2,253,282	1,647,926	863,842	1,588,096	954,156	1,826,444	4,887,484	65,116	759,022	1,597,704	1,010,458	1,079,510	403,992	1,217,048	946,256	28,837,764
2012-09	915,768	6,849,276	2,255,918	1,652,792	866,946	1,593,476	956,756	1,831,260	4,891,498	66,424	762,162	1,610,678	1,013,596	1,082,922	410,824	1,221,112	949,580	28,930,988
2012-10	917,446	6,868,822	2,260,134	1,658,332	869,892	1,598,700	959,190	1,834,860	4,894,858	67,756	764,512	1,623,292	1,017,026	1,086,422	413,342	1,225,396	952,750	29,012,730
2012-11	919,978	6,896,652	2,263,988	1,664,708	873,900	1,609,280	962,464	1,839,762	4,900,518	68,840	767,336	1,633,054	1,020,942	1,090,728	416,982	1,230,180	956,446	29,115,758
2012-12	918,614	6,907,402	2,263,976	1,666,620	874,972	1,612,054	964,100	1,842,068	4,895,752	69,846	768,852	1,644,014	1,024,254	1,091,660	421,604	1,231,540	957,058	29,154,386
